timestamp,tipo_evento,categoria,nome,cpf,unidade,status,observacao,hora,minuto,dia_da_semana,anomalia,score de anomalia
2025-05-18 12:41:46,ACCESS_GRANTED,Visitante,pedro,1524839336,46,Autorizado,admin,12,41,6,1,-0.1645788543019488
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Rafael Mota,18618418941,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.2191932842550443
2025-05-18 13:03:00,ACCESS_GRANTED,Visitante,lucas silva,958472910,14A,Autorizado,Morador,13,3,6,0,0.005583313520949262
2025-05-18 13:03:15,ACCESS_GRANTED,Entregador,fernanda costa,1029384756,9,Autorizado,Morador,13,3,6,0,0.005583313520949262
2025-05-18 13:04:01,ACCESS_GRANTED,Prestador de ServiÃ§o,marcelo almeida,65748392011,33C,Autorizado,Morador,13,4,6,0,0.005583313520949262
2025-05-18 14:21:10,ACCESS_GRANTED,Visitante,ana paula,746291837,27B,Autorizado,Morador,14,21,6,0,0.02451495038260537
2025-05-18 14:21:22,ACCESS_GRANTED,Entregador,jose henrique,8491028374,17A,Autorizado,Morador,14,21,6,0,0.02451495038260537
2025-05-18 15:11:45,ACCESS_GRANTED,Prestador de ServiÃ§o,rafael lima,10394857621,02,Autorizado,carlos,15,11,6,1,-0.17428789910963866
2025-05-18 15:12:15,ACCESS_GRANTED,Visitante,juliana dias,485739201,45D,Autorizado,Morador,15,12,6,0,0.048039083779676306
2025-05-18 15:12:32,ACCESS_GRANTED,Entregador,daniel souza,1209384756,12B,Autorizado,Morador,15,12,6,0,0.048039083779676306
2025-05-18 04:12:45,ACCESS_GRANTED,Visitante,Etevaldo,184845618,27,Autorizado,Morador,4,12,6,0,-0.13167475796023015
2025-05-18 15:12:45,ACCESS_GRANTED,Visitante,carla,123456789,46,Autorizado,Morador,15,12,6,0,0.048039083779676306
2025-05-18 15:13:00,ACCESS_GRANTED,Visitante,lucas,987654321,46,Autorizado,Morador,15,13,6,0,0.048039083779676306
2025-05-18 15:13:15,ACCESS_DENIED,Visitante,rafael,1234567890,46,NÃ£o autorizado,data expirada,15,13,6,1,-0.17312751018314204
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Carlos Alberto,8484518484,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.2191932842550443
2025-05-18 16:21:34,ACCESS_GRANTED,Visitante,ana beatriz,8593029483,15C,Autorizado,Morador,16,21,6,0,0.06315553769479876
2025-05-18 16:23:10,ACCESS_GRANTED,Entregador,joÃ£o pedro,3948571028,08A,Autorizado,Morador,16,23,6,0,0.06315553769479876
2025-05-18 16:25:55,ACCESS_GRANTED,Prestador de ServiÃ§o,marcelo silva,9283746510,22,Autorizado,admin,16,25,6,1,-0.13534969508990796
2025-05-18 16:28:44,ACCESS_DENIED,Visitante,bruno oliveira,1231231230,33,NÃ£o autorizado,fora do horÃ¡rio,16,28,6,1,-0.15323239522702475
2025-05-18 16:31:02,ACCESS_GRANTED,Visitante,laura martins,5647382910,09,Autorizado,Morador,16,31,6,0,0.06315553769479876
2025-05-18 16:34:17,ACCESS_DENIED,Entregador,renato costa,8392018473,12B,NÃ£o autorizado,cadastro inexistente,16,34,6,1,-0.16570699997869048
2025-05-18 16:36:45,ACCESS_GRANTED,Visitante,vinicius leal,9182736455,18A,Autorizado,Morador,16,36,6,0,0.06315553769479876
2025-05-18 03:39:10,ACCESS_GRANTED,Prestador de ServiÃ§o,adriana souza,7382910456,01,Autorizado,Morador,3,39,6,0,-0.14590404796755668
2025-05-18 16:42:22,ACCESS_DENIED,Visitante,pedro henrique,5647382910,09,NÃ£o autorizado,documento invÃ¡lido,16,42,6,1,-0.15200385436559422
2025-05-18 16:44:55,ACCESS_GRANTED,Entregador,fernando ramos,9382716450,07C,Autorizado,Morador,16,44,6,0,0.06315553769479876
2025-05-18 16:48:12,ACCESS_GRANTED,Visitante,julia fernandes,1827364510,20D,Autorizado,Morador,16,48,6,0,0.06315553769479876
2025-05-18 16:50:39,ACCESS_GRANTED,Prestador de ServiÃ§o,carlos mendes,9182736450,17,Autorizado,Morador,16,50,6,0,0.06315553769479876
2025-05-18 16:52:21,ACCESS_DENIED,Visitante,talita dias,8473629102,30,NÃ£o autorizado,autorizaÃ§Ã£o vencida,16,52,6,1,-0.16857828950493975
2025-05-18 16:54:10,ACCESS_GRANTED,Visitante,ricardo alves,5647382910,13A,Autorizado,Morador,16,54,6,0,0.06315553769479876
2025-05-18 16:55:55,ACCESS_GRANTED,Entregador,silvio santos,1234567891,26B,Autorizado,Morador,16,55,6,0,0.06315553769479876
2025-05-18 16:57:23,ACCESS_GRANTED,Visitante,marcia silva,1092837465,05,Autorizado,Morador,16,57,6,0,0.06315553769479876
2025-05-18 16:59:48,ACCESS_DENIED,Prestador de ServiÃ§o,rita lopes,8372910348,14,NÃ£o autorizado,nÃ£o consta na lista,16,59,6,1,-0.1646278569289324
2025-05-18 17:01:35,ACCESS_GRANTED,Visitante,luan pereira,5647382910,02B,Autorizado,Morador,17,1,6,0,0.0
2025-05-18 17:03:00,ACCESS_GRANTED,Visitante,aline costa,1029384756,46,Autorizado,Morador,17,3,6,0,0.0
2025-05-18 17:05:16,ACCESS_DENIED,Entregador,diego silva,8473629102,08C,NÃ£o autorizado,documento invÃ¡lido,17,5,6,1,-0.17025787847242252
2025-05-20 15:40:05,ACCESS_GRANTED,Entregador,leandro,585546632325,4,Autorizado,admin,15,40,1,1,-0.18503979435451495
2025-05-20 15:41:51,ACCESS_GRANTED,Prestador de ServiÃ§o,Fernando,184846269,23,Autorizado,morador,15,41,1,0,-0.13020931030140254
2025-05-20 15:55:27,ACCESS_GRANTED,Prestador de ServiÃ§o,Felipe,65982929,22,Autorizado,morador,15,55,1,0,-0.13020931030140254
2025-05-20 15:58:06,ACCESS_GRANTED,Visitante,Kaique,659592928,11,Autorizado,morador,15,58,1,0,-0.13020931030140254
2025-05-20 16:01:00,ACCESS_GRANTED,Prestador de ServiÃ§o,Sergio,62223326288,2A,Autorizado,morador,16,1,1,1,-0.1892389028672588
