timestamp,tipo_evento,categoria,nome,cpf,unidade,status,observacao,hora,minuto,dia_da_semana,anomalia,score de anomalia,placa,local,Nome,documento
2025-05-18 23:11:03,ACCESS_DENIED,,,,,NÃ£o autorizado,cadastro ausente,23,11,6,1,-0.1766026722173691,,Portao C,Gustavo,6060606060.0
2025-05-13 12:23:26,ACCESS_DENIED,,,,,NÃ£o autorizado,data expirada,12,23,1,1,-0.1490683394606676,,Portao C,Ana Carolina Santos,12345678901.0
2025-05-18 21:10:41,ACCESS_DENIED,,,,,NÃ£o autorizado,data expirada,21,10,6,1,-0.1466338429257617,,Portao A,Ricardo Dias,3030303030.0
2025-05-21 03:19:20,LPR,,,,,,NÃ£o autorizado,3,19,2,1,-0.1352000665731892,CXZ1845,Estacionamento B saÃ­da,,
2025-05-21 06:19:45,LPR,,,,,,NÃ£o autorizado,6,19,2,1,-0.1244487286485666,WSD3759,Placa removida,,
2025-05-20 03:36:21,ACCESS_DENIED,,,,,NÃ£o autorizado,Desconhecido,3,36,1,1,-0.1189483814468083,,Portao A,Desconhecido,
2025-05-24 17:05:16,ACCESS_DENIED,Entregador,diego silva,8473629102.0,08C,NÃ£o autorizado,documento invÃ¡lido,17,5,5,1,-0.1175416582704979,,,,
2025-05-21 07:20:37,LPR,,,,,,NÃ£o autorizado,7,20,2,1,-0.1129906853322304,MNB5371,Estacionamento B entrada,,
2025-05-17 23:23:39,ACCESS_GRANTED,,,,,Autorizado,saida,23,23,5,1,-0.1124014987067599,,Portao B,Rafaela,7070707070.0
2025-05-24 16:59:48,ACCESS_DENIED,Prestador de ServiÃ§o,rita lopes,8372910348.0,14,NÃ£o autorizado,nÃ£o consta na lista,16,59,5,1,-0.1085196910343058,,,,
2025-05-22 16:52:21,ACCESS_DENIED,Visitante,talita dias,8473629102.0,30,NÃ£o autorizado,autorizaÃ§Ã£o vencida,16,52,3,1,-0.106522075636162,,,,
2025-05-19 18:45:37,ACCESS_DENIED,,,,,NÃ£o autorizado,Desconhecido,18,45,0,1,-0.1038544911343284,,Portao B,Desconhecido,
2025-05-19 12:41:46,ACCESS_GRANTED,Visitante,pedro,1524839336.0,46,Autorizado,admin,12,41,0,1,-0.0925996403929236,,,,
2025-05-21 16:28:44,ACCESS_DENIED,Visitante,bruno oliveira,1231231230.0,33,NÃ£o autorizado,fora do horÃ¡rio,16,28,2,1,-0.0900107509980532,,,,
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Rafael Mota,18618418941.0,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.0882624079037165,,,,
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Carlos Alberto,8484518484.0,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.0882624079037165,,,,
2025-05-20 15:13:15,ACCESS_DENIED,Visitante,rafael,1234567890.0,46,NÃ£o autorizado,data expirada,15,13,1,1,-0.0879118236859699,,,,
2025-05-21 16:34:17,ACCESS_DENIED,Entregador,renato costa,8392018473.0,12B,NÃ£o autorizado,cadastro inexistente,16,34,2,1,-0.087059127136421,,,,
2025-05-21 16:42:22,ACCESS_DENIED,Visitante,pedro henrique,5647382910.0,09,NÃ£o autorizado,documento invÃ¡lido,16,42,2,1,-0.0839916958591778,,,,
2025-05-18 15:15:47,ACCESS_DENIED,,,,,NÃ£o autorizado,Desconhecido,15,15,6,1,-0.0815044446569878,,Portao B,Desconhecido,
2025-05-18 17:33:44,ACCESS_DENIED,,,,,NÃ£o autorizado,Desconhecido,17,33,6,1,-0.0777485742327299,,Portao A,Desconhecido,
2025-05-20 15:11:45,ACCESS_GRANTED,Prestador de ServiÃ§o,rafael lima,10394857621.0,02,Autorizado,carlos,15,11,1,1,-0.0718395775832595,,,,
2025-05-18 15:55:27,ACCESS_GRANTED,Prestador de ServiÃ§o,Felipe,65982929.0,22,Autorizado,morador,15,55,6,1,-0.0698444224509725,,,,
2025-05-20 09:13:14,LPR,,,,,,NÃ£o autorizado,9,13,1,1,-0.0680711772628906,QWE1830,Estacionamento A saÃ­da,,
2025-05-21 07:20:23,LPR,,,,,,Autorizado,7,20,2,1,-0.0644680601456106,FGH9207,Estacionamento A saÃ­da,,
2025-05-13 23:23:26,LPR,,,,,,NÃ£o autorizado,23,23,1,1,-0.0642862484012456,HAS7593,Estacionamento A entrada,,
2025-05-13 13:23:26,ACCESS_DENIED,,,,,NÃ£o autorizado,Desconhecido,13,23,1,1,-0.0632640905111602,,Portao C,Desconhecido,
2025-05-21 06:20:10,LPR,,,,,,Autorizado,6,20,2,1,-0.0620658465046372,LOP7632,saÃ­da,,
2025-05-21 07:21:05,LPR,,,,,,Autorizado,7,21,2,1,-0.0615420196638581,ASD9635,Estacionamento A entrada,,
2025-05-20 15:15:52,LPR,,,,,,NÃ£o autorizado,15,15,1,1,-0.0586948623996347,LKJ9812,Estacionamento A saÃ­da,,
2025-05-21 06:19:33,LPR,,,,,,Autorizado,6,19,2,1,-0.0575522676067631,WSD3759,Placa cadastrada,,
2025-05-20 21:18:31,LPR,,,,,,NÃ£o autorizado,21,18,1,1,-0.0517935333581771,MLO5729,entrada,,
2025-05-20 19:17:26,LPR,,,,,,NÃ£o autorizado,19,17,1,1,-0.0464747212505738,LKA3840,Estacionamento A entrada,,
2025-05-20 11:14:02,LPR,,,,,,NÃ£o autorizado,11,14,1,1,-0.0455109134452192,UYT3500,entrada,,
2025-05-21 03:39:10,ACCESS_GRANTED,Prestador de ServiÃ§o,adriana souza,7382910456.0,01,Autorizado,Morador,3,39,2,1,-0.0428804012732756,,,,
2025-05-24 15:40:05,ACCESS_GRANTED,Entregador,leandro,585546632325.0,4,Autorizado,admin,15,40,5,1,-0.0414558430812094,,,,
2025-05-20 11:13:30,LPR,,,,,,NÃ£o autorizado,11,13,1,1,-0.0394553655148253,HGF0921,Placa removida,,
2025-05-13 22:23:26,LPR,,,,,,NÃ£o autorizado,22,23,1,1,-0.0377784610000936,BAS3470,Placa removida,,
2025-05-20 15:15:17,LPR,,,,,,NÃ£o autorizado,15,15,1,1,-0.0349749443753415,WER5460,entrada,,
2025-05-21 07:20:51,LPR,,,,,,Autorizado,7,20,2,1,-0.0349742413166929,QWE2084,entrada,,
2025-05-21 06:19:58,LPR,,,,,,Autorizado,6,19,2,1,-0.0335376654000733,ZAE1093,entrada,,
2025-05-25 16:25:55,ACCESS_GRANTED,Prestador de ServiÃ§o,marcelo silva,9283746510.0,22,Autorizado,admin,16,25,6,1,-0.0292847801391953,,,,
2025-05-25 17:48:06,ACCESS_GRANTED,Entregador,pedro,15451146516.0,14,Autorizado,admin,17,48,6,1,-0.0224037352055759,,,,
2025-05-25 17:50:36,ACCESS_GRANTED,Prestador de ServiÃ§o,pedro teste,458775125.0,67,Autorizado,admin,17,50,6,1,-0.0224037352055759,,,,
2025-05-20 20:18:02,LPR,,,,,,NÃ£o autorizado,20,18,1,1,-0.0158688947032163,VBN6520,Placa removida,,
